dom_w,pair,word_1,construal_level_1,image_path,resp_1,word_2,resp_2,construal_level_2,condition,construal_shift
2,7,disrobing,low,images/2-alt.jpg,no,journaling,yes,low,II,low low
12,2,declining,high,images/12.jpg,yes,worsening,yes,high,DD,high high
15,3,teasing,high,images/15.jpg,yes,loud,yes,low,DI,high low
18,6,lecturer,high,images/18-alt.jpg,no,professor,yes,high,ID,high high
11,2,journeying,high,images/11.jpg,yes,sightseeing,yes,high,DD,high high
13,8,teaching,low,images/13-alt.jpg,no,arguing,yes,high,IN,low high
14,7,distracted,high,images/14-alt.jpg,no,expensive,yes,low,II,high low
10,4,admiring,high,images/10.jpg,yes,resting,yes,high,DN,high high
4,6,entertaining,low,images/4-alt.jpg,no,playing,yes,high,ID,low high
8,3,wandering,high,images/8.jpg,yes,clean,yes,low,DI,high low
6,5,learning,high,images/6-alt.jpg,no,shulphing ,no,na,IC,high na
19,1,lounging,low,images/19.jpg,yes,parsting ,no,na,DC,low na
7,9,evaluating,high,images/7.jpg,yes,thruiching ,no,na,DC,high na
17,4,tourist,high,images/17.jpg,yes,guide,yes,high,DN,high high
1,8,giving,low,images/1-alt.jpg,no,stealing,yes,high,IN,low high
9,7,sinking,low,images/9-alt.jpg,no,leaping,yes,low,II,low low
16,6,serene,high,images/16-alt.jpg,no,peaceful,yes,high,ID,high high
5,9,enjoying,high,images/5.jpg,yes,coarping ,no,na,DC,high na
3,3,dialing,low,images/3.jpg,yes,gambling,yes,high,DI,low high
20,5,business,low,images/20-alt.jpg,no,tirth ,no,na,IC,low na
3,3,dialing,low,images/3.jpg,yes,gambling,yes,high,DI,low high
8,2,wandering,high,images/8.jpg,yes,exploring,yes,high,DD,high high
5,5,enjoying,low,images/5-alt.jpg,no,coarping ,no,na,IC,low na
11,3,journeying,high,images/11.jpg,yes,admitting,yes,high,DI,high high
15,2,teasing,high,images/15.jpg,yes,flirty,yes,high,DD,high high
4,3,entertaining,high,images/4.jpg,yes,buttering,yes,low,DI,high low
