dom_w,pair,word_1,construal_level_1,image_path,resp_1,word_2,resp_2,construal_level_2,condition,construal_shift
8,4,wandering,high,images/8.jpg,yes,lost,yes,high,DN,high high
9,4,sinking,low,images/9.jpg,yes,floating,yes,low,DN,low low
10,4,admiring,high,images/10.jpg,yes,resting,yes,high,DN,high high
11,4,journeying,high,images/11.jpg,yes,worrying,yes,high,DN,high high
12,4,declining,high,images/12.jpg,yes,recovering,yes,high,DN,high high
13,4,teaching,high,images/13.jpg,yes,arguing,yes,high,DN,high high
14,4,distracted,high,images/14.jpg,yes,infatuated,yes,high,DN,high high
15,4,teasing,high,images/15.jpg,yes,shy,yes,high,DN,high high
16,4,serene,high,images/16.jpg,yes,desperate,yes,high,DN,high high
17,4,tourist,high,images/17.jpg,yes,guide,yes,high,DN,high high
18,4,lecturer,high,images/18.jpg,yes,student,yes,high,DN,high high
19,4,lounging,low,images/19.jpg,yes,waiting,yes,high,DN,low high
20,4,business,low,images/20.jpg,yes,sitcom,yes,low,DN,low low
1,5,giving,low,images/1-alt.jpg,no,prilping,no,na,IC,low na
2,5,disrobing,low,images/2-alt.jpg,no,floarting ,no,na,IC,low na
3,5,dialing,high,images/3-alt.jpg,no,swarding ,no,na,IC,high na
4,5,entertaining,low,images/4-alt.jpg,no,bloamsing,no,na,IC,low na
5,5,enjoying,low,images/5-alt.jpg,no,coarping ,no,na,IC,low na
6,5,learning,high,images/6-alt.jpg,no,shulphing ,no,na,IC,high na
7,5,evaluating,low,images/7-alt.jpg,no,thruiching ,no,na,IC,low na
8,5,wandering,low,images/8-alt.jpg,no,thremming ,no,na,IC,low na
9,5,sinking,low,images/9-alt.jpg,no,blerting ,no,na,IC,low na
10,5,admiring,low,images/10-alt.jpg,no,proagging ,no,na,IC,low na
11,5,journeying,high,images/11-alt.jpg,no,slambithing ,no,na,IC,high na
12,5,declining,high,images/12-alt.jpg,no,blurging ,no,na,IC,high na
13,5,teaching,low,images/13-alt.jpg,no,gnoocking ,no,na,IC,low na
14,5,distracted,high,images/14-alt.jpg,no,shrumpsical  ,no,na,IC,high na
15,5,teasing,low,images/15-alt.jpg,no,triggish,no,na,IC,low na
16,5,serene,high,images/16-alt.jpg,no,dwieved,no,na,IC,high na
17,5,tourist,low,images/17-alt.jpg,no,thwoad ,no,na,IC,low na
18,5,lecturer,high,images/18-alt.jpg,no,plasmer,no,na,IC,high na
19,5,lounging,low,images/19-alt.jpg,no,parsting ,no,na,IC,low na
20,5,business,low,images/20-alt.jpg,no,tirth ,no,na,IC,low na
1,6,giving,low,images/1-alt.jpg,no,donating,yes,high,ID,low high
2,6,disrobing,low,images/2-alt.jpg,no,undressing,yes,low,ID,low low
3,6,dialing,high,images/3-alt.jpg,no,calling,yes,low,ID,high low
4,6,entertaining,low,images/4-alt.jpg,no,playing,yes,high,ID,low high
5,6,enjoying,low,images/5-alt.jpg,no,relaxing,yes,high,ID,low high
6,6,learning,high,images/6-alt.jpg,no,studying,yes,high,ID,high high
7,6,evaluating,low,images/7-alt.jpg,no,critiquing,yes,high,ID,low high
8,6,wandering,low,images/8-alt.jpg,no,exploring,yes,high,ID,low high
9,6,sinking,low,images/9-alt.jpg,no,drowning,yes,low,ID,low low
10,6,admiring,low,images/10-alt.jpg,no,appreciating,yes,high,ID,low high
11,6,journeying,high,images/11-alt.jpg,no,sightseeing,yes,high,ID,high high
12,6,declining,high,images/12-alt.jpg,no,worsening,yes,high,ID,high high
13,6,teaching,low,images/13-alt.jpg,no,instructing,yes,high,ID,low high
14,6,distracted,high,images/14-alt.jpg,no,absentminded,yes,high,ID,high high
15,6,teasing,low,images/15-alt.jpg,no,flirty,yes,high,ID,low high
16,6,serene,high,images/16-alt.jpg,no,peaceful,yes,high,ID,high high
17,6,tourist,low,images/17-alt.jpg,no,visitor,yes,high,ID,low high
18,6,lecturer,high,images/18-alt.jpg,no,professor,yes,high,ID,high high
19,6,lounging,low,images/19-alt.jpg,no,unwinding,yes,high,ID,low high
20,6,business,low,images/20-alt.jpg,no,work,yes,low,ID,low low
1,7,giving,low,images/1-alt.jpg,no,sleeping,yes,low,II,low low
2,7,disrobing,low,images/2-alt.jpg,no,journaling,yes,low,II,low low
3,7,dialing,high,images/3-alt.jpg,no,gambling,yes,high,II,high high
4,7,entertaining,low,images/4-alt.jpg,no,buttering,yes,low,II,low low
5,7,enjoying,low,images/5-alt.jpg,no,colliding,yes,low,II,low low
6,7,learning,high,images/6-alt.jpg,no,damaging,yes,high,II,high high
7,7,evaluating,low,images/7-alt.jpg,no,splattering,yes,low,II,low low
8,7,wandering,low,images/8-alt.jpg,no,clean,yes,low,II,low low
9,7,sinking,low,images/9-alt.jpg,no,leaping,yes,low,II,low low
10,7,admiring,low,images/10-alt.jpg,no,estimating,yes,high,II,low high
11,7,journeying,high,images/11-alt.jpg,no,admitting,yes,high,II,high high
12,7,declining,high,images/12-alt.jpg,no,swearing,yes,low,II,high low
13,7,teaching,low,images/13-alt.jpg,no,grinning,yes,low,II,low low
14,7,distracted,high,images/14-alt.jpg,no,expensive,yes,low,II,high low
15,7,teasing,low,images/15-alt.jpg,no,loud,yes,low,II,low low
16,7,serene,high,images/16-alt.jpg,no,talented,yes,high,II,high high
17,7,tourist,low,images/17-alt.jpg,no,laptop,yes,low,II,low low
18,7,lecturer,high,images/18-alt.jpg,no,buyer,yes,high,II,high high
19,7,lounging,low,images/19-alt.jpg,no,punching,yes,low,II,low low
20,7,business,low,images/20-alt.jpg,no,lamp,yes,low,II,low low
1,8,giving,low,images/1-alt.jpg,no,stealing,yes,high,IN,low high
2,8,disrobing,low,images/2-alt.jpg,no,preparing,yes,high,IN,low high
3,8,dialing,high,images/3-alt.jpg,no,answering,yes,high,IN,high high
4,8,entertaining,low,images/4-alt.jpg,no,punishing,yes,high,IN,low high
5,8,enjoying,low,images/5-alt.jpg,no,commuting,yes,high,IN,low high
6,8,learning,high,images/6-alt.jpg,no,videochatting,yes,low,IN,high low
7,8,evaluating,low,images/7-alt.jpg,no,encouraging,yes,high,IN,low high
8,8,wandering,low,images/8-alt.jpg,no,lost,yes,high,IN,low high
9,8,sinking,low,images/9-alt.jpg,no,floating,yes,low,IN,low low
10,8,admiring,low,images/10-alt.jpg,no,resting,yes,high,IN,low high
11,8,journeying,high,images/11-alt.jpg,no,worrying,yes,high,IN,high high
12,8,declining,high,images/12-alt.jpg,no,recovering,yes,high,IN,high high
13,8,teaching,low,images/13-alt.jpg,no,arguing,yes,high,IN,low high
14,8,distracted,high,images/14-alt.jpg,no,infatuated,yes,high,IN,high high
15,8,teasing,low,images/15-alt.jpg,no,shy,yes,high,IN,low high
16,8,serene,high,images/16-alt.jpg,no,desperate,yes,high,IN,high high
17,8,tourist,low,images/17-alt.jpg,no,guide,yes,high,IN,low high
18,8,lecturer,high,images/18-alt.jpg,no,student,yes,high,IN,high high
19,8,lounging,low,images/19-alt.jpg,no,waiting,yes,high,IN,low high
20,8,business,low,images/20-alt.jpg,no,sitcom,yes,low,IN,low low
