dom_w,pair,word_1,construal_level_1,image_path,resp_1,word_2,resp_2,construal_level_2,condition,construal_shift
1,4,giving,high,images/1.jpg,yes,stealing,yes,high,DN,high high
13,2,teaching,high,images/13.jpg,yes,instructing,yes,high,DD,high high
19,2,lounging,low,images/19.jpg,yes,unwinding,yes,high,DD,low high
8,9,wandering,high,images/8.jpg,yes,thremming ,no,na,DC,high na
17,4,tourist,high,images/17.jpg,yes,guide,yes,high,DN,high high
3,8,dialing,high,images/3-alt.jpg,no,answering,yes,high,IN,high high
15,2,teasing,high,images/15.jpg,yes,flirty,yes,high,DD,high high
16,3,serene,high,images/16.jpg,yes,talented,yes,high,DI,high high
20,1,business,low,images/20.jpg,yes,tirth ,no,na,DC,low na
6,1,learning,high,images/6.jpg,yes,shulphing ,no,na,DC,high na
11,6,journeying,high,images/11-alt.jpg,no,sightseeing,yes,high,ID,high high
14,6,distracted,high,images/14-alt.jpg,no,absentminded,yes,high,ID,high high
9,2,sinking,low,images/9.jpg,yes,drowning,yes,low,DD,low low
18,4,lecturer,high,images/18.jpg,yes,student,yes,high,DN,high high
12,8,declining,high,images/12-alt.jpg,no,recovering,yes,high,IN,high high
7,3,evaluating,high,images/7.jpg,yes,splattering,yes,low,DI,high low
4,3,entertaining,high,images/4.jpg,yes,buttering,yes,low,DI,high low
5,2,enjoying,high,images/5.jpg,yes,relaxing,yes,high,DD,high high
10,2,admiring,high,images/10.jpg,yes,appreciating,yes,high,DD,high high
8,7,wandering,low,images/8-alt.jpg,no,clean,yes,low,II,low low
9,2,sinking,low,images/9.jpg,yes,drowning,yes,low,DD,low low
10,8,admiring,low,images/10-alt.jpg,no,resting,yes,high,IN,low high
3,5,dialing,high,images/3-alt.jpg,no,swarding ,no,na,IC,high na
7,7,evaluating,low,images/7-alt.jpg,no,splattering,yes,low,II,low low
19,3,lounging,low,images/19.jpg,yes,punching,yes,low,DI,low low
15,3,teasing,high,images/15.jpg,yes,loud,yes,low,DI,high low
20,9,business,low,images/20.jpg,yes,tirth ,no,na,DC,low na
14,7,distracted,high,images/14-alt.jpg,no,expensive,yes,low,II,high low
6,1,learning,high,images/6.jpg,yes,shulphing ,no,na,DC,high na
